passenger_name;city;total_amount
DARYA IVANOVA;Idaho Falls;600.08
DARYA IVANOVA;Los Angeles;1657.76
DARYA IVANOVA;Los Angeles;2528.24
DARYA IVANOVA;Orlando;732.16
DARYA IVANOVA;Richmond;243.36
DARYA KALININA;Los Angeles;2125.76
DARYA KARPOVA;Millville;1927.12
DARYA KARPOVA;Palm Springs;1827.28
DARYA KARPOVA;Santa Monica;2014.48
DARYA KAZAKOVA;Los Angeles;828.88
DARYA KOLESNIKOVA;Alice;689.52
DARYA KOMAROVA;Palm Springs;1827.28
DARYA KONOVALOVA;Los Angeles;828.88
DARYA KOROLEVA;Los Angeles;828.88
DARYA KOVALEVA;Palm Springs;1827.28
DARYA KOVALEVA;Richmond;729.04
DARYA KOZLOVA;Alamogordo;344.24
DARYA KOZLOVA;Albany;214.24
DARYA KOZLOVA;Los Angeles;918.32
DARYA KOZLOVA;Venice;1320.80
DARYA KRASNOVA;Albany;5071.04
DARYA KUDRYASHOVA;Alamogordo;689.52
DARYA KUZMINA;Los Angeles;3140.80
DARYA KUZMINA;Orlando;383.76
DARYA KUZMINA;Richmond;485.68
DARYA KUZNECOVA;Alamogordo;687.44
DARYA KUZNECOVA;Alamogordo;784.16
DARYA KUZNECOVA;Albany;5071.04
DARYA KUZNECOVA;Daytona Beach;1228.24
DARYA KUZNECOVA;Mojave;1979.12
DARYA KUZNECOVA;San Bernardino;784.16
DARYA LAZAREVA;Albany;4846.40
DARYA LAZAREVA;Los Angeles;2754.96
DARYA LEBEDEVA;Millville;537.68
DARYA LOGINOVA;Atlanta;654.16
DARYA LOGINOVA;Charleston;2008.24
DARYA LOGINOVA;Los Angeles;3316.56
DARYA LOGINOVA;Millville;537.68
DARYA LOGINOVA;San Bernardino;880.88
DARYA LUKYANOVA;San Bernardino;880.88
DARYA LUKYANOVA;Venice;398.32
DARYA MAKAROVA;Miami;2953.60
DARYA MAKAROVA;Orlando;732.16
DARYA MAKAROVA;Richmond;487.76
DARYA MASLOVA;Alamogordo;689.52
DARYA MATVEEVA;Columbus;643.76
DARYA MELNIKOVA;Daytona Beach;695.76
DARYA MELNIKOVA;Fargo;604.24
DARYA MELNIKOVA;Fargo;661.44
DARYA MELNIKOVA;San Bernardino;2224.56
DARYA MIKHAYLOVA;Atlantic City;124.80
DARYA MIKHAYLOVA;Las Vegas;388.96
DARYA MIKHAYLOVA;Newport;1451.84
DARYA MIRONOVA;Los Angeles;1657.76
DARYA MIRONOVA;Los Angeles;4416.88
DARYA MIRONOVA;Venice;822.64
DARYA MOISEEVA;Los Angeles;828.88
DARYA MOISEEVA;Los Angeles;1119.04
DARYA MOROZOVA;Alamogordo;689.52
DARYA MOROZOVA;Alice;1414.40
DARYA MOROZOVA;Idaho Falls;600.08
DARYA MOROZOVA;Los Angeles;2656.16
DARYA MOROZOVA;Palm Springs;2656.16
DARYA MOROZOVA;Venice;405.60
DARYA NAZAROVA;Atlantic City;249.60
DARYA NAZAROVA;Los Angeles;2486.64
DARYA NAZAROVA;Louisville;1088.88
DARYA NESTEROVA;Fargo;297.44
DARYA NESTEROVA;Galveston;638.56
DARYA NESTEROVA;Miami;766.48
DARYA NESTEROVA;Richmond;243.36
DARYA NIKIFOROVA;Rochester;1372.80
DARYA NIKITINA;Alice;654.16
DARYA NIKITINA;Los Angeles;2656.16
DARYA NIKITINA;Los Angeles;5958.16
DARYA NIKITINA;Palm Springs;2656.16
DARYA NIKITINA;Palm Springs;5838.56
DARYA NIKITINA;Tucumcari;2593.76
DARYA NIKOLAEVA;Albany;2311.92
DARYA NIKOLAEVA;Fargo;396.24
DARYA NIKOLAEVA;Rochester;686.40
DARYA NIKOLAEVA;San Bernardino;439.92
DARYA NOVIKOVA;Birmingham;1093.04
DARYA NOVIKOVA;Birmingham;1747.20
DARYA NOVIKOVA;Mojave;1979.12
DARYA NOVIKOVA;Palm Springs;914.16
DARYA ORLOVA;Los Angeles;828.88
DARYA ORLOVA;Stratford;3438.24
DARYA OSIPOVA;Daytona Beach;863.20
DARYA OSIPOVA;Los Angeles;1008.80
DARYA OSIPOVA;Palm Springs;7861.36
DARYA OVCHINNIKOVA;Daytona Beach;173.68
DARYA OVCHINNIKOVA;Fargo;523.12
DARYA OVCHINNIKOVA;Miami;567.84
DARYA PAVLOVA;Alice;1705.60
DARYA PAVLOVA;San Bernardino;2008.24
DARYA PAVLOVA;Tucumcari;1729.52
DARYA PETROVA;Birmingham;3360.24
DARYA PETROVA;Galveston;100.88
DARYA PETROVA;Indianapolis;222.56
DARYA PETROVA;Jacksonville;460.72
DARYA PETROVA;Richmond;487.76
DARYA PETROVA;Roswell;3002.48
DARYA POLYAKOVA;Atlanta;326.56
DARYA POLYAKOVA;New York;208.00
DARYA POLYAKOVA;Richmond;487.76
DARYA POLYAKOVA;Venice;398.32
DARYA POPOVA;Alamogordo;344.24
DARYA POPOVA;Birmingham;2794.48
DARYA POPOVA;Los Angeles;414.96
DARYA POPOVA;Millville;841.36
DARYA POPOVA;Nashville;2757.04
DARYA POPOVA;Orlando;848.64
DARYA POPOVA;Palm Springs;7862.40
DARYA POPOVA;Stratford;2619.76
DARYA RODIONOVA;Millville;548.08
DARYA ROMANOVA;Grand Junction;932.88
DARYA ROMANOVA;Little Rock;825.76
DARYA ROMANOVA;Nashville;1934.40
DARYA ROMANOVA;San Diego;121.68
DARYA RYABOVA;Alamogordo;689.52
DARYA RYABOVA;Columbus;998.40
DARYA RYABOVA;Fargo;108.16
DARYA SAVELEVA;Galveston;6238.96
DARYA SAVELEVA;Newport;6238.96
DARYA SAVELEVA;San Diego;243.36
DARYA SCHERBAKOVA;Chicago;1157.52
DARYA SCHERBAKOVA;Fargo;99.84
DARYA SCHERBAKOVA;San Bernardino;968.24
DARYA SEMENOVA;Burlington;888.16
DARYA SEMENOVA;Charleston;1025.44
DARYA SEMENOVA;Fargo;99.84
DARYA SEMENOVA;Las Vegas;388.96
DARYA SEMENOVA;Los Angeles;3895.84
DARYA SEMENOVA;Palm Springs;4023.76
DARYA SERGEEVA;Albany;2322.32
DARYA SERGEEVA;Columbus;635.44
DARYA SERGEEVA;Los Angeles;1947.92
DARYA SERGEEVA;Palm Springs;6125.60
DARYA SERGEEVA;Tucumcari;864.24
DARYA SIDOROVA;Grand Junction;932.88
DARYA SIDOROVA;Millville;302.64
DARYA SIDOROVA;Venice;1194.96
DARYA SMIRNOVA;Alamogordo;344.24
DARYA SMIRNOVA;Atlanta;326.56
DARYA SMIRNOVA;Richmond;243.36
DARYA SOKOLOVA;Alice;689.52
DARYA SOKOLOVA;Los Angeles;1927.12
DARYA SOKOLOVA;Palm Springs;3654.56
DARYA SOKOLOVA;Palm Springs;4041.44
DARYA SOKOLOVA;San Bernardino;879.84
DARYA SOLOVEVA;Charleston;2058.16
DARYA SOLOVEVA;Los Angeles;1947.92
DARYA SOLOVEVA;Louisville;1777.36
DARYA SOROKINA;Palm Springs;4011.28
DARYA SOROKINA;Richmond;487.76
DARYA STEPANOVA;Los Angeles;828.88
DARYA TARASOVA;Atlanta;980.72
DARYA TARASOVA;Daytona Beach;328.64
DARYA TARASOVA;Daytona Beach;506.48
DARYA TARASOVA;Fargo;298.48
DARYA TARASOVA;Palm Springs;2194.40
DARYA TARASOVA;Tucson;385.84
DARYA TIKHONOVA;Miami;2500.16
DARYA TIKHONOVA;Millville;879.84
DARYA TIMOFEEVA;Rochester;686.40
DARYA TITOVA;Idaho Falls;600.08
DARYA TITOVA;Tucson;772.72
DARYA TROFIMOVA;Los Angeles;828.88
DARYA TROFIMOVA;Palm Springs;3747.12
DARYA TROFIMOVA;San Bernardino;968.24
DARYA VASILEVA;Chicago;772.72
DARYA VASILEVA;Los Angeles;828.88
DARYA VASILEVA;Los Angeles;2486.64
DARYA VASILEVA;Millville;1379.04
DARYA VASILEVA;New York;218.40
DARYA VASILEVA;San Bernardino;880.88
DARYA VLASOVA;Las Vegas;388.96
DARYA VOLKOVA;Fargo;198.64
DARYA VOLKOVA;Jacksonville;943.28
DARYA VOLKOVA;Orlando;697.84
DARYA VOLKOVA;Richmond;485.68
DARYA VOROBEVA;Birmingham;2271.36
DARYA YUDINA;Los Angeles;2486.64
DARYA ZAKHAROVA;Alice;689.52
DARYA ZAKHAROVA;Idaho Falls;300.56
DARYA ZAKHAROVA;Las Vegas;564.72
DARYA ZAKHAROVA;Los Angeles;3066.96
DARYA ZAKHAROVA;Millville;2066.48
DARYA ZAKHAROVA;New York;426.40
DARYA ZAYCEVA;Chicago;1157.52
DARYA ZAYCEVA;Chicago;6753.76
DARYA ZHUKOVA;Los Angeles;11085.36
DARYA ZHURAVLEVA;Daytona Beach;347.36
DARYA ZHURAVLEVA;Miami;2711.28
DARYA ZHURAVLEVA;Richmond;499.20
DARYA ZOTOVA;Las Vegas;784.16
DAVID FROLOV;Birmingham;2881.84
DAVID FROLOV;Miami;1553.76
DAVID GRIGOREV;Albany;1475.76
DAVID KUZNECOV;Rochester;686.40
DAVID MAKAROV;Alamogordo;689.52
DAVID SIDOROV;Los Angeles;1947.92
DAVID SOKOLOV;Galveston;100.88
DAVID SOROKIN;Alamogordo;344.24
DAVID VASILEV;Los Angeles;1657.76
DAVID ZHUKOV;Los Angeles;828.88
DENIS ABRAMOV;Columbus;1271.92
DENIS ABRAMOV;Galveston;661.44
DENIS ABRAMOV;Hillsboro;433.68
DENIS ABRAMOV;Palm Springs;2011.36
DENIS AFANASEV;Galveston;107.12
DENIS AFANASEV;San Bernardino;439.92
DENIS ALEKSANDROV;Little Rock;412.88
DENIS ALEKSANDROV;Orlando;1657.76
DENIS ALEKSEEV;Alamogordo;689.52
DENIS ALEKSEEV;Indianapolis;222.56
DENIS ALEKSEEV;Los Angeles;918.32
DENIS ALEKSEEV;Los Angeles;1414.40
DENIS ALEKSEEV;Los Angeles;2486.64
DENIS ALEKSEEV;Nashville;2793.44
DENIS ANDREEV;Alamogordo;689.52
DENIS ANDREEV;Los Angeles;828.88
DENIS ANDREEV;Millville;1309.36
DENIS ANDREEV;Tucson;385.84
DENIS ANDREEV;Tucson;586.56
DENIS ANTONOV;Alamogordo;1376.96
DENIS ANTONOV;Fargo;1386.32
DENIS ANTONOV;Galveston;1348.88
DENIS ANTONOV;Louisville;2177.76
DENIS ANTONOV;Newport;1348.88
DENIS BARANOV;Alamogordo;687.44
DENIS BARANOV;Galveston;2704.00
DENIS BARANOV;Los Angeles;1119.04
DENIS BARANOV;Newport;2704.00
DENIS BELOV;Fargo;1054.56
DENIS BELOV;Idaho Falls;600.08
DENIS BELOV;Jacksonville;1382.16
DENIS BELOV;Rochester;686.40
DENIS BELOV;Teterboro;671.84
DENIS BONDARENKO;Los Angeles;1699.36
DENIS BONDARENKO;Los Angeles;2846.48
DENIS BORISOV;Atlanta;1307.28
DENIS BORISOV;Miami;1701.44
DENIS BORISOV;Santa Monica;2014.48
DENIS CHERNOV;Alamogordo;706.16
DENIS CHERNOV;Alamogordo;1032.72
DENIS CHERNOV;Galveston;100.88
DENIS CHERNOV;Richmond;121.68
DENIS CHERNOV;Tampa;368.16
DENIS DAVYDOV;Atlanta;163.28
DENIS DAVYDOV;Little Rock;412.88
DENIS DAVYDOV;Stratford;1760.72
DENIS DENISOV;Roswell;3051.36
DENIS DENISOV;Ruidoso;157.04
DENIS DMITRIEV;Miami;1133.60
DENIS EGOROV;Alamogordo;344.24
DENIS EGOROV;Charleston;1004.64
DENIS EGOROV;Fargo;1457.04
DENIS EGOROV;Galveston;638.56
DENIS FEDOROV;Newport;3415.36
DENIS FEDOROV;Tampa;368.16
DENIS FEDOROV;Tucson;773.76
DENIS FEDOTOV;Miami;1860.56
DENIS FILIPPOV;Fargo;198.64
DENIS FILIPPOV;Fargo;1219.92
DENIS FILIPPOV;Millville;908.96
DENIS FILIPPOV;San Bernardino;1319.76
DENIS FOMIN;Birmingham;2271.36
DENIS FROLOV;Alice;1705.60
DENIS FROLOV;Charleston;1004.64
DENIS FROLOV;Cincinnati;228.80
DENIS FROLOV;Fargo;1441.44
DENIS FROLOV;Mojave;3958.24
DENIS FROLOV;San Bernardino;1761.76
DENIS GAVRILOV;Los Angeles;828.88
DENIS GAVRILOV;Millville;606.32
DENIS GAVRILOV;Santa Monica;2014.48
DENIS GERASIMOV;Albany;3360.24
DENIS GERASIMOV;Fargo;396.24
DENIS GERASIMOV;Grand Junction;932.88
DENIS GERASIMOV;Mojave;3958.24
DENIS GERASIMOV;Richmond;487.76
DENIS GORBUNOV;Alice;2086.24
DENIS GORBUNOV;Fargo;1441.44
DENIS GORBUNOV;Louisville;714.48
DENIS GORBUNOV;San Bernardino;968.24
DENIS GRIGOREV;Alamogordo;2010.32
DENIS GRIGOREV;Birmingham;894.40
DENIS GRIGOREV;Cincinnati;457.60
DENIS GRIGOREV;Fargo;720.72
DENIS GRIGOREV;San Bernardino;2010.32
DENIS GRIGOREV;Tucson;385.84
DENIS GUSEV;Alamogordo;172.64
DENIS GUSEV;Idaho Falls;149.76
DENIS GUSEV;Millville;1612.00
DENIS ILIN;Los Angeles;828.88
DENIS ILIN;Los Angeles;1442.48
DENIS ISAEV;Grand Junction;466.96
DENIS ISAEV;Las Vegas;778.96
DENIS IVANOV;Albany;1475.76
DENIS IVANOV;Alice;1379.04
DENIS IVANOV;Atlanta;654.16
DENIS IVANOV;Birmingham;4257.76
DENIS IVANOV;Charleston;1004.64
DENIS IVANOV;Fargo;198.64
DENIS IVANOV;Idaho Falls;300.56
DENIS IVANOV;Las Vegas;388.96
DENIS IVANOV;Los Angeles;828.88
DENIS IVANOV;Los Angeles;1119.04
DENIS IVANOV;Los Angeles;2125.76
DENIS IVANOV;Miami;583.44
DENIS IVANOV;Miami;794.56
DENIS IVANOV;Miami;1543.36
DENIS IVANOV;Millville;537.68
DENIS IVANOV;Millville;1753.44
DENIS IVANOV;Mojave;9993.36
DENIS IVANOV;Palm Springs;7310.16
DENIS IVANOV;Richmond;243.36
DENIS KARPOV;Los Angeles;1956.24
DENIS KARPOV;Tampa;368.16
DENIS KAZAKOV;Alice;1394.64
DENIS KAZAKOV;Alice;2086.24
DENIS KAZAKOV;Burlington;888.16
DENIS KAZAKOV;Indianapolis;222.56
DENIS KISELEV;Birmingham;2936.96
DENIS KISELEV;Galveston;100.88
DENIS KISELEV;Mojave;1979.12
DENIS KISELEV;Richmond;487.76
DENIS KONOVALOV;Fargo;198.64
DENIS KONOVALOV;Los Angeles;1947.92
DENIS KOROLEV;Albany;640.64
DENIS KOROLEV;Albany;1475.76
DENIS KOROLEV;Atlanta;326.56
DENIS KOROLEV;Los Angeles;4776.72
DENIS KOZLOV;Alamogordo;1033.76
DENIS KOZLOV;Millville;1389.44
DENIS KOZLOV;Orlando;4385.68
DENIS KRASNOV;Los Angeles;1657.76
DENIS KRASNOV;Los Angeles;4228.64
DENIS KUDRYASHOV;Albany;2322.32
DENIS KULIKOV;Burlington;1775.28
DENIS KULIKOV;Los Angeles;1243.84
DENIS KUZMIN;Charleston;1004.64
DENIS KUZMIN;Columbus;1480.96
DENIS KUZMIN;Los Angeles;1927.12
DENIS KUZMIN;Louisville;1088.88
DENIS KUZMIN;Miami;2299.44
DENIS KUZMIN;Roswell;2051.92
DENIS KUZMIN;San Bernardino;1341.60
DENIS KUZNECOV;Alamogordo;704.08
DENIS KUZNECOV;Alamogordo;731.12
DENIS KUZNECOV;Alamogordo;1032.72
DENIS KUZNECOV;Atlanta;654.16
DENIS KUZNECOV;Chicago;1158.56
DENIS KUZNECOV;Daytona Beach;693.68
DENIS KUZNECOV;Daytona Beach;695.76
DENIS KUZNECOV;Fargo;297.44
DENIS KUZNECOV;Grand Junction;932.88
DENIS KUZNECOV;Las Vegas;388.96
DENIS KUZNECOV;Los Angeles;828.88
DENIS KUZNECOV;Louisville;593.84
DENIS KUZNECOV;Palm Springs;3838.64
DENIS KUZNECOV;Richmond;485.68
DENIS KUZNECOV;Venice;1081.60
DENIS MAKAROV;Chicago;1928.16
DENIS MAKAROV;Los Angeles;1160.64
DENIS MAKAROV;Richmond;364.00
DENIS MAKSIMOV;Charleston;2029.04
DENIS MAKSIMOV;Columbus;998.40
DENIS MAKSIMOV;Fargo;595.92
DENIS MAKSIMOV;Millville;537.68
DENIS MAKSIMOV;Palm Springs;3654.56
DENIS MAKSIMOV;San Bernardino;994.24
DENIS MARTYNOV;Palm Springs;4190.16
DENIS MARTYNOV;Richmond;243.36
DENIS MATVEEV;Alamogordo;1030.64
DENIS MATVEEV;Daytona Beach;347.36
DENIS MEDVEDEV;Baton Rouge;110.24
DENIS MEDVEDEV;Columbus;4504.24
DENIS MEDVEDEV;Las Vegas;395.20
DENIS MEDVEDEV;Palm Springs;5481.84
DENIS MELNIKOV;Atlantic City;255.84
DENIS MELNIKOV;Little Rock;412.88
DENIS MELNIKOV;Orlando;1396.72
DENIS MIKHAYLOV;Birmingham;852.80
DENIS MIKHAYLOV;Columbus;1025.44
DENIS MIKHAYLOV;Fargo;523.12
DENIS MIRONOV;Daytona Beach;695.76
DENIS MIRONOV;Grand Junction;466.96
DENIS MIRONOV;Los Angeles;1657.76
DENIS MIRONOV;Los Angeles;2776.80
DENIS MIRONOV;Palm Springs;1827.28
DENIS MIRONOV;Palm Springs;3654.56
DENIS MOISEEV;Chicago;385.84
DENIS MOISEEV;Miami;2901.60
DENIS MOISEEV;Mojave;3958.24
DENIS MOISEEV;Richmond;243.36
DENIS MOROZOV;Los Angeles;1119.04
DENIS MOROZOV;Palm Springs;5851.04
DENIS MOROZOV;Tucson;396.24
DENIS NAUMOV;Alamogordo;344.24
DENIS NAZAROV;Birmingham;1705.60
DENIS NAZAROV;Las Vegas;790.40
DENIS NAZAROV;Palm Springs;2011.36
DENIS NAZAROV;Tucson;1168.96
DENIS NIKITIN;Alamogordo;689.52
DENIS NIKITIN;Birmingham;1093.04
DENIS NIKITIN;Richmond;243.36
DENIS NIKITIN;Stratford;859.04
DENIS NIKOLAEV;Albany;3786.64
DENIS NIKOLAEV;Birmingham;1093.04
DENIS NIKOLAEV;Venice;796.64
DENIS NOVIKOV;Los Angeles;2845.44
DENIS NOVIKOV;Richmond;121.68
DENIS ORLOV;Miami;2187.12
DENIS OSIPOV;Las Vegas;778.96
DENIS OSIPOV;Orlando;697.84
DENIS OSIPOV;Orlando;2791.36
DENIS OSIPOV;Tucson;772.72
DENIS PAVLOV;Alice;2120.56
DENIS PAVLOV;Atlantic City;249.60
DENIS PAVLOV;Birmingham;2640.56
DENIS PAVLOV;Fargo;1167.92
DENIS PAVLOV;Palm Springs;1005.68
DENIS PAVLOV;Tucumcari;4323.28
DENIS PETROV;Alamogordo;344.24
DENIS PETROV;Alamogordo;689.52
DENIS PETROV;Chicago;193.44
DENIS PETROV;Chicago;772.72
DENIS PETROV;Fargo;99.84
DENIS PETROV;Jacksonville;460.72
DENIS PETROV;Richmond;243.36
DENIS PETROV;Richmond;487.76
DENIS POPOV;Albany;2738.32
DENIS POPOV;Fargo;596.96
DENIS POPOV;Idaho Falls;600.08
DENIS POPOV;Los Angeles;851.76
DENIS POPOV;Los Angeles;2828.80
DENIS POPOV;Miami;1167.92
DENIS POPOV;Orlando;1394.64
DENIS POPOV;Palm Springs;7310.16
DENIS POPOV;Richmond;243.36
DENIS RODIONOV;Santa Monica;1007.76
DENIS RODIONOV;Tucson;1160.64
DENIS ROMANOV;Burlington;1775.28
DENIS ROMANOV;Columbus;635.44
DENIS SAVELEV;Chicago;1176.24
DENIS SAVELEV;Houston;718.64
DENIS SAVELEV;Los Angeles;870.48
DENIS SAVELEV;Nashville;2793.44
DENIS SCHERBAKOV;Alice;706.16
DENIS SCHERBAKOV;Galveston;100.88
DENIS SCHERBAKOV;Los Angeles;828.88
DENIS SCHERBAKOV;Millville;1075.36
DENIS SCHERBAKOV;Tucson;385.84
DENIS SEMENOV;Alamogordo;689.52
DENIS SEMENOV;Louisville;2374.32
DENIS SEMENOV;Richmond;487.76
DENIS SEMENOV;Roswell;2000.96
DENIS SEMENOV;San Bernardino;901.68
DENIS SERGEEV;Alamogordo;1376.96
DENIS SERGEEV;Galveston;1184.56
DENIS SERGEEV;Venice;796.64
DENIS SHEVCHENKO;Atlanta;326.56
DENIS SIDOROV;Columbus;1119.04
DENIS SIDOROV;Los Angeles;1657.76
DENIS SIDOROV;Mojave;1979.12
DENIS SIDOROV;Newport;3415.36
DENIS SIDOROV;Orlando;2923.44
DENIS SIDOROV;Palm Springs;2011.36
DENIS SMIRNOV;Alamogordo;1032.72
DENIS SMIRNOV;Albany;1262.56
DENIS SMIRNOV;Atlanta;654.16
DENIS SMIRNOV;San Bernardino;1760.72
DENIS SOKOLOV;Charleston;1025.44
DENIS SOKOLOV;Mojave;5937.36
DENIS SOKOLOV;Tucson;385.84
DENIS SOLOVEV;Birmingham;1293.76
DENIS SOLOVEV;Palm Springs;5481.84
DENIS SOLOVEV;San Bernardino;901.68
DENIS SOROKIN;Birmingham;6272.24
DENIS SOROKIN;Los Angeles;1119.04
DENIS SOROKIN;Richmond;729.04
DENIS STEPANOV;Albany;1486.16
DENIS STEPANOV;Alice;707.20
DENIS STEPANOV;Columbus;1754.48
DENIS STEPANOV;Grand Junction;466.96
DENIS STEPANOV;Los Angeles;2486.64
DENIS TARASOV;Los Angeles;2125.76
DENIS TARASOV;Miami;3604.64
DENIS TARASOV;Newport;2604.16
DENIS TARASOV;Palm Springs;5481.84
DENIS TIKHONOV;Fargo;99.84
DENIS TIKHONOV;Las Vegas;784.16
DENIS TIMOFEEV;Rochester;1407.12
DENIS VASILEV;Indianapolis;222.56
DENIS VASILEV;Richmond;3216.72
DENIS VLASOV;Alamogordo;344.24
DENIS VLASOV;Burlington;888.16
DENIS VOLKOV;Alamogordo;344.24
DENIS VOLKOV;Albany;3999.84
DENIS VOLKOV;Fargo;595.92
DENIS VOLKOV;Fargo;1200.16
DENIS VOLKOV;Mojave;9894.56
DENIS VOLKOV;Rochester;686.40
DENIS VOLKOV;Roswell;1200.16
DENIS VOROBEV;New York;624.00
DENIS VOROBEV;Orlando;1396.72
DENIS VOROBEV;Venice;796.64
DENIS YAKOVLEV;Las Vegas;388.96
DENIS YAKOVLEV;Orlando;2791.36
DENIS ZAKHAROV;Fargo;307.84
DENIS ZAKHAROV;Fargo;537.68
DENIS ZAKHAROV;Los Angeles;918.32
DENIS ZAKHAROV;Miami;766.48
DENIS ZAKHAROV;Palm Springs;4103.84
DENIS ZAKHAROV;Ruidoso;157.04
DENIS ZAKHAROV;San Bernardino;439.92
DENIS ZAKHAROV;San Bernardino;901.68
DENIS ZAKHAROV;San Diego;243.36
DENIS ZAKHAROV;Venice;1194.96
DENIS ZAYCEV;Fargo;640.64
DENIS ZAYCEV;Indianapolis;446.16
DENIS ZAYCEV;Los Angeles;1657.76
DENIS ZAYCEV;Palm Springs;5574.40
DENIS ZAYCEV;Roswell;1001.52
DENIS ZHUKOV;Fargo;99.84
DENIS ZHUKOV;Grand Junction;932.88
DENIS ZHUKOV;Los Angeles;2486.64
DENIS ZHUKOV;Millville;620.88
DENIS ZHUKOV;Orlando;1743.04
DENIS ZHURAVLEV;Birmingham;1561.04
DIANA ALEKSANDROVA;Millville;1729.52
DIANA ANDREEVA;Miami;567.84
DIANA ANTONOVA;Orlando;1465.36
DIANA ANTONOVA;Stratford;1760.72
DIANA BARANOVA;Charleston;2037.36
DIANA BORISOVA;Alamogordo;344.24
DIANA BORISOVA;Alamogordo;687.44
DIANA BORISOVA;Los Angeles;918.32
DIANA CHERNOVA;Rochester;1372.80
DIANA DANILOVA;Columbus;998.40
DIANA DENISOVA;Grand Junction;932.88
DIANA DENISOVA;Tucson;385.84
DIANA FEDOROVA;Louisville;690.56
DIANA FILATOVA;Fargo;1060.80
DIANA FILATOVA;Tampa;737.36
DIANA FOMINA;Tucson;1168.96
DIANA IVANOVA;Las Vegas;784.16
DIANA IVANOVA;Miami;567.84
DIANA IVANOVA;Palm Springs;1827.28
DIANA KAZAKOVA;Birmingham;2616.64
DIANA KISELEVA;Alice;1379.04
DIANA KOVALEVA;Fargo;297.44
DIANA KOVALEVA;Palm Springs;4115.28
DIANA KRASNOVA;Richmond;255.84
DIANA KULIKOVA;Chicago;385.84
DIANA KUZNECOVA;Daytona Beach;695.76
DIANA KUZNECOVA;Tampa;385.84
DIANA LUKYANOVA;Burlington;888.16
DIANA MEDVEDEVA;Atlanta;326.56
DIANA MOROZOVA;Richmond;121.68
DIANA NAUMOVA;Los Angeles;1947.92
DIANA NESTEROVA;Chicago;791.44
DIANA NESTEROVA;Galveston;1348.88
DIANA NESTEROVA;Newport;1348.88
DIANA NIKIFOROVA;Tucson;385.84
DIANA ORLOVA;Alamogordo;689.52
DIANA ORLOVA;San Bernardino;1761.76
DIANA OVCHINNIKOVA;Miami;3632.72
DIANA PAVLOVA;Galveston;1496.56
DIANA PETROVA;Hillsboro;433.68
DIANA PETROVA;Orlando;2791.36
DIANA PETROVA;San Bernardino;880.88
DIANA PETROVA;San Diego;243.36
DIANA POLYAKOVA;Chicago;770.64
DIANA POLYAKOVA;Roswell;2000.96
DIANA POPOVA;Alamogordo;360.88
DIANA ROMANOVA;Los Angeles;1947.92
DIANA SAVELEVA;Alamogordo;689.52
DIANA SEMENOVA;Newport;2276.56
DIANA SERGEEVA;Tucson;772.72
DIANA SMIRNOVA;Cincinnati;457.60
DIANA SMIRNOVA;Fargo;1060.80
DIANA SOKOLOVA;Alice;344.24
DIANA SOROKINA;Rochester;686.40
DIANA STEPANOVA;Columbus;1996.80
DIANA TARASOVA;Palm Springs;3654.56
DIANA TARASOVA;Stratford;2662.40
DIANA TIKHONOVA;Albany;2526.16
DIANA TIKHONOVA;Mojave;1979.12
DIANA TIMOFEEVA;Los Angeles;2614.56
DIANA VLASOVA;Stratford;3438.24
DIANA ZHUKOVA;Millville;1612.00
DILYARA ABRAMOVA;Louisville;2177.76
DILYARA CHERNOVA;Columbus;1964.56
DILYARA NOVIKOVA;Galveston;201.76
DILYARA VOLKOVA;Atlanta;669.76
DINA AFANASEVA;Santa Monica;4028.96
DINA DENISOVA;Richmond;487.76
DINA DMITRIEVA;Columbus;1139.84
DINA IVANOVA;Charleston;1004.64
DINA MALYSHEVA;Grand Junction;466.96
DINA MELNIKOVA;Louisville;622.96
DINA POPOVA;Alamogordo;344.24
DINA RYABOVA;Birmingham;1310.40
DINA SERGEEVA;New York;426.40
DINA TROFIMOVA;Palm Springs;1827.28
DINA VASILEVA;Richmond;742.56
DINA ZHURAVLEVA;Fargo;99.84
DINARA GRISHINA;Orlando;2790.32
DINARA IVANOVA;Tucson;573.04
DINARA KOMAROVA;Rochester;686.40
DINARA LEBEDEVA;Birmingham;1420.64
DINARA LUKYANOVA;Birmingham;2187.12
DINARA NAZAROVA;Washington;679.12
DINARA PETROVA;Newport;4063.28
DINARA STEPANOVA;Los Angeles;1119.04
DINARA ZOTOVA;Tucson;586.56
DMITRIY ABRAMOV;Albany;1262.56
DMITRIY ABRAMOV;Chicago;630.24
DMITRIY ABRAMOV;Fargo;801.84
DMITRIY ABRAMOV;Los Angeles;1947.92
DMITRIY ABRAMOV;Los Angeles;2776.80
DMITRIY ABRAMOV;Louisville;599.04
DMITRIY ABRAMOV;Millville;1212.64
DMITRIY ABRAMOV;Richmond;630.24
DMITRIY ABRAMOV;Venice;273.52
DMITRIY AFANASEV;Alice;1379.04
DMITRIY AFANASEV;Atlanta;654.16
DMITRIY AFANASEV;Fargo;99.84
DMITRIY AFANASEV;Los Angeles;3143.92
DMITRIY AFANASEV;Richmond;443.04
DMITRIY AFANASEV;Roswell;3002.48
DMITRIY AFANASEV;San Bernardino;880.88
DMITRIY AFANASEV;Tucson;772.72
DMITRIY AFANASEV;Venice;1068.08
DMITRIY ALEKSANDROV;Alamogordo;1376.96
